	START intro.wav
1.121	63
2.23	62
3.34	55
4.074	57
5.184	70
6.293	69
7.043	60
8.153	51
9.262	57
9.996	49
11.106	47
12.215	53
13.325	66
14.075	68
15.184	57
16.294	57
17.028	44
18.137	46
19.247	57
24.06	56
25.169	56
26.278	56
27.013	46
28.122	56
29.232	56
31.091	46
32.201	47
33.31	47
34.044	62
35.154	70
36.263	65
37.013	53
38.123	49
39.232	60
40.342	62	END intro.wav	START shotgun.wav	END shotgun.wav
43.297	53
44.031	49
45.147	49
46.262	51
47.003	52	START noise_baaly_mid.wav
48.112	63
49.222	66
50.331	61
51.066	61
52.175	42
53.284	45
56.988	57
58.097	57
59.207	42
60.316	45
61.05	57	END noise_baaly_mid.wav
63.277	58
64.017	43
65.133	53
66.232	62
66.973	56
68.089	56	START noise_panicscare.wav
71.049	52
72.159	54
73.268	55
74.003	64	END noise_panicscare.wav
75.12	61
78.074	46	START noise_suspense_1.wav
79.191	48
80.3	53
81.035	60
82.144	58	END noise_suspense_1.wav
83.261	50
84.001	46
85.1	46
86.215	48
86.955	57
88.07	66	START monster_scream.wav
89.171	61
90.28	61
91.031	49
92.14	50
93.249	49
93.984	57
95.093	63
96.203	68	END monster_scream.wav
96.945	69
98.059	60
100.513	43
100.513	48
101.011	59
102.126	56	START noise_girl_long.wav
103.231	56
103.981	53
105.091	53
106.2	63
108.044	65
109.153	66
110.263	60
113.966	60
115.076	51
116.185	63
117.294	64
118.029	60
120.998	59
122.107	53
123.217	53
123.951	50
125.06	61
126.17	63
127.279	63
128.029	50
129.139	50
130.248	62
130.983	61
132.092	52
133.201	48
136.17	56
137.28	65
138.014	61
139.124	53
140.233	53	END noise_girl_long.wav
140.975	56
142.09	63
143.189	59
143.929	59
145.043	58
146.158	68	START noise_drone_mid.wav
147.262	64
150.965	57
152.075	57
153.184	54
153.919	55
155.028	59
156.138	69
157.997	70
159.107	73
160.216	71
160.95	70
162.06	64
163.169	73
163.919	72
165.029	66
166.138	63
167.248	56
167.982	60
169.091	55
170.201	60	END noise_drone_mid.wav
170.943	67
172.058	68
173.157	63
173.897	63
175.012	63	START dog_barking_2.wav
177.239	66
177.974	70	END dog_barking_2.wav
180.192	63
180.932	66
182.047	70	START dog_barking_3.wav
183.148	66	END dog_barking_3.wav
183.898	64
185.0	75
186.117	78
189.071	73	START crows.wav
190.187	73
190.921	77
192.03	74	END crows.wav
193.148	73
193.888	72
194.987	73
196.103	77
197.212	74	START dogs_stretched_howl.wav
197.952	71
199.061	72
200.17	73
204.983	69	END dogs_stretched_howl.wav
207.2	67
207.94	68
209.054	67	START creature_growling_1.wav
210.904	65
212.013	69
213.122	72
214.232	70
214.966	68
216.076	65
217.935	68	END creature_growling_1.wav
219.045	78
220.146	80
220.886	77
222.001	69
223.115	67	START noise_girl_mid.wav
224.965	73
226.074	75
227.183	77
227.918	76
229.027	71
230.137	65
230.887	67
231.996	65
233.106	56
234.215	55
234.949	60
236.059	67
237.168	67
240.872	62
241.981	67	END noise_girl_mid.wav
244.201	61
244.941	66
246.056	66	START effect_crows_slowed.wav
247.159	59
250.862	64
251.972	57
253.081	58
254.19	61
254.925	68
256.034	67
257.894	58
259.003	63
260.113	70
260.847	67	END effect_crows_slowed.wav
261.956	60
264.371	59
