	START intro.wav
0.796	97
1.546	81
2.656	62
3.765	62
4.874	66
5.609	63
6.718	61
7.828	64
8.562	64
9.687	64
10.797	55
11.531	57
12.64	60
13.75	62
14.859	62
15.594	62
16.703	62
17.813	62
18.563	59
19.672	56
20.781	58
21.531	58
22.625	56
23.735	57
24.844	57
25.594	65
26.704	66
27.813	66
28.547	72
29.657	66
30.766	60
31.876	59
32.626	60
33.735	63
34.845	64
35.579	57
36.688	55
37.798	58
38.532	58
39.642	58
40.751	58	END intro.wav	START dog_barking_1.wav
41.864	63
42.614	64	END dog_barking_1.wav
43.722	64
44.823	64
45.565	59
46.682	57	START dogs_stretched_howl.wav
47.787	61
48.522	61
49.631	61
50.741	61
51.866	60
52.6	57
53.71	61	END dogs_stretched_howl.wav
54.819	56
55.552	56
56.669	57
57.77	57	START noise_girl_long.wav
58.52	57
59.63	58
60.739	68
61.849	72
62.583	68
63.693	68
64.802	68
65.552	68
66.661	64
67.771	65
68.505	72
69.615	68
70.724	64
71.834	66
72.584	72
73.693	62
74.802	61
75.537	65
76.646	69
77.756	78
78.49	4
79.6	4
80.725	67
81.834	63
82.568	60
83.678	58
84.787	66
85.522	66
86.631	66
87.741	3
88.491	62
89.6	57
90.71	57
91.819	60
92.553	65
93.663	64
94.772	61
95.522	60	END noise_girl_long.wav
96.631	63
97.732	63
98.473	72
99.589	67	START dog_growling_1.wav
100.693	66
101.802	60	END dog_growling_1.wav
102.552	58
103.66	58
104.76	58
105.501	58
106.618	60	START effect_crows_slowed.wav
107.718	60
108.468	60
109.578	68
110.687	64
111.797	66
112.531	66
113.641	66
114.75	66
115.5	58
116.609	64
117.719	62
118.828	70
119.563	67
120.672	58
121.782	61	END effect_crows_slowed.wav
122.532	64
123.639	60
124.739	60
125.48	60	START manticore.wav
126.601	62
127.71	64
128.819	61
129.554	62
130.663	63
131.773	60
132.523	60
133.632	59	END manticore.wav
135.664	64
135.664	57
136.585	55
137.692	59
138.808	60
139.549	60
140.649	60
141.765	60	START monster_scream.wav
142.51	61
143.62	60
144.729	61
146.854	65
146.854	63
147.682	59
148.792	62
149.542	70	END monster_scream.wav
150.648	66
151.748	66
152.489	66
153.605	61
154.722	66
155.45	67	START birds_startle_flap.wav
156.56	69
157.669	69
158.779	69
159.529	66
160.638	68	END birds_startle_flap.wav
161.745	69
162.486	67
163.587	67
164.703	67
165.444	73	START noise_suspense_1.wav
166.554	64
167.663	61
168.772	61
169.507	61	END noise_suspense_1.wav
170.634	61
171.735	66
172.476	63	START creature_growling_1.wav
173.586	69
174.695	66
175.429	65
176.539	65
177.648	65
178.758	65
179.508	70
180.617	74
181.727	70	END creature_growling_1.wav
182.461	66
183.566	66
184.682	67
185.424	68	START dog_barking_2.wav
186.533	65
187.643	65	END dog_barking_2.wav
188.75	68
189.501	67
190.601	64
191.72	63	START dog_in_destance.wav
192.447	63	END dog_in_destance.wav
193.556	63
194.683	63
195.784	65
196.525	66
197.641	65
198.741	63	START shotgun.wav
199.486	64
200.595	68	END shotgun.wav
201.707	66
202.448	63
203.548	60
204.665	65	START noise_drone_mid.wav
205.781	66
206.515	69
207.624	71
208.734	68
209.468	61
210.578	1
211.687	1
212.437	66
213.547	66
214.656	63
215.765	68
216.5	68
217.609	66
218.719	67
219.469	73
220.578	73
221.688	67
222.422	71
223.531	70
224.641	66
225.75	69
226.485	69
227.61	72
228.719	69	END noise_drone_mid.wav
229.454	70
230.563	71
231.679	80
232.404	80
233.52	78
234.638	66
